"","state","year","urate","children","nonwhite","finc","earn","age","ed","work","unearn","post93","anykids","p93kids.interaction"
"1",11,1991,7.59999990463257,0,1,18714.394273,18714.394273,26,10,1,0,0,0,0
"2",12,1991,7.19999980926514,1,0,4838.5682819,471.36563877,22,9,1,4.3672026432,0,1,0
"3",13,1991,6.40000009536743,2,0,8178.1938326,0,33,11,0,8.1781938326,0,1,0
"4",14,1991,9.10000038146973,0,1,9369.5704846,0,43,11,0,9.3695704846,0,0,0
"5",15,1991,8.60000038146973,3,1,14706.60793,14706.60793,23,7,1,0,0,1,0
"6",16,1991,6.80000019073486,1,0,21605.044053,18854.625551,53,7,1,2.7504185022,0,1,0
"7",21,1991,7.30000019073486,0,1,19146.872247,14140.969163,52,11,1,5.0059030837,0,0,0
"8",22,1991,6.69999980926514,0,1,64311.949339,63802.874449,51,11,1,0.50907488987,0,0,0
"9",23,1991,7,1,1,17676.211454,17676.211454,20,11,1,0,0,1,0
"10",31,1991,6.40000009536743,2,1,12214.262115,2358.0066079,32,11,1,9.8562555066,0,1,0
"11",32,1991,6,0,0,47475.947137,47136.563877,51,9,1,0.33938325991,0,0,0
"12",33,1991,7.19999980926514,2,0,12962.555066,4713.6563877,29,10,1,8.2488986784,0,1,0
"13",34,1991,9.30000019073486,0,0,7070.4845815,0,54,9,0,7.0704845815,0,0,0
"14",35,1991,5.5,0,0,0,0,28,11,0,0,0,0,0
"15",41,1991,5.09999990463257,0,1,3605.9471366,0,27,11,0,3.6059471366,0,0,0
"16",42,1991,4.59999990463257,1,0,6223.2048458,0,37,7,0,6.2232048458,0,1,0
"17",43,1991,6.69999980926514,1,0,15814.317181,0,41,10,0,15.814317181,0,1,0
"18",44,1991,4.30000019073486,0,0,21211.453744,21211.453744,45,9,1,0,0,0,0
"19",45,1991,3.59999990463257,0,0,13858.14978,10558.590308,51,7,1,3.2995594714,0,0,0
"20",46,1991,2.79999995231628,0,0,5038.8986784,5038.8986784,43,10,1,0,0,0,0
"21",47,1991,4.5,1,0,5185.0220264,2356.8281938,24,11,1,2.8281938326,0,1,0
"22",51,1991,6.30000019073486,1,0,0,0,24,11,0,0,0,1,0
"23",52,1991,6,3,0,7056.3436123,0,38,9,0,7.0563436123,0,1,0
"24",53,1991,7.80000019073486,2,1,23488.14978,21918.502203,38,10,1,1.5696475771,0,1,0
"25",54,1991,5.90000009536743,4,1,5797.7973568,0,26,11,0,5.7977973568,0,1,0
"26",55,1991,10.6000003814697,1,0,13845.187225,7924.8348018,46,9,1,5.9203524229,0,1,0
"27",56,1991,5.80000019073486,1,1,15319.38326,15319.38326,41,11,1,0,0,1,0
"28",57,1991,6.30000019073486,1,1,2743.3480176,0,20,11,0,2.7433480176,0,1,0
"29",58,1991,5,1,1,15114.339207,14494.493392,37,11,1,0.61984581498,0,1,0
"30",59,1991,7.40000009536743,0,0,16497.797357,16497.797357,46,11,1,0,0,0,0
"31",61,1991,7.5,2,0,3224.1409692,0,46,7,0,3.2241409692,0,1,0
"32",62,1991,6.69999980926514,0,1,20992.268722,20033.039648,53,3,0,0.95922907489,0,0,0
"33",63,1991,7.19999980926514,2,1,11312.77533,8955.9471366,42,11,1,2.3568281938,0,1,0
"34",64,1991,8.69999980926514,0,0,14169.251101,14140.969163,36,11,1,0.028281938326,0,0,0
"35",71,1991,7.40000009536743,1,0,4963.4801762,3087.4449339,45,7,1,1.8760352423,0,1,0
"36",72,1991,7.19999980926514,0,1,4713.6563877,3299.5594714,39,11,1,1.4140969163,0,0,0
"37",73,1991,6.69999980926514,0,1,1343.3920705,0,41,7,0,1.3433920705,0,0,0
