"female","wjtest01","wjtest07","wjtest10","age","cutoff","freelunch","agexcutoff","race"
0,3,2,2,-202,0,1,0,"hispanic"
1,2,5,18,285,1,1,285,"black"
1,2,4,11,-240,0,1,0,"white"
0,0,2,0,-126,0,1,0,"black"
1,11,9,12,-13,0,1,0,"hispanic"
0,7,7,11,-294,0,1,0,"hispanic"
0,2,0,3,-102,0,1,0,"hispanic"
0,2,7,7,-116,0,1,0,"hispanic"
1,3,5,9,-41,0,1,0,"black"
0,0,4,0,75,1,1,75,"other"
1,2,4,0,-145,0,1,0,"hispanic"
0,4,7,14,-352,0,1,0,"black"
0,5,7,1,-126,0,1,0,"black"
0,2,1,2,68,1,1,68,"black"
0,3,0,5,-279,0,1,0,"hispanic"
1,2,1,5,-356,0,1,0,"hispanic"
1,1,4,1,-22,0,1,0,"hispanic"
0,12,12,10,-172,0,1,0,"white"
1,12,11,13,-349,0,1,0,"hispanic"
1,2,6,9,-61,0,1,0,"black"
0,6,7,17,-180,0,1,0,"white"
0,3,5,3,-124,0,0,0,"black"
0,2,6,2,-295,0,1,0,"hispanic"
0,18,6,10,-338,0,1,0,"hispanic"
0,2,1,7,-102,0,1,0,"hispanic"
0,10,4,9,292,1,1,292,"black"
1,0,4,11,-38,0,1,0,"black"
0,1,5,6,-295,0,1,0,"hispanic"
1,4,3,1,-37,0,1,0,"white"
0,6,9,14,292,1,1,292,"black"
1,14,0,0,-139,0,1,0,"black"
0,1,1,1,-324,0,1,0,"hispanic"
1,3,6,7,-20,0,1,0,"other"
0,7,3,10,-201,0,1,0,"other"
1,2,2,1,-80,0,1,0,"hispanic"
1,11,12,15,-33,0,1,0,"black"
0,3,7,12,94,1,1,94,"hispanic"
1,4,9,13,-102,0,1,0,"hispanic"
1,6,5,7,-258,0,1,0,"other"
1,2,3,11,-90,0,1,0,"hispanic"
1,9,7,12,-167,0,1,0,"white"
0,7,1,6,-210,0,1,0,"black"
0,3,7,12,239,1,1,239,"other"
0,4,3,0,-159,0,1,0,"hispanic"
0,5,2,9,-196,0,1,0,"hispanic"
1,1,6,10,-188,0,1,0,"hispanic"
0,6,4,8,17,1,1,17,"hispanic"
0,1,4,0,-353,0,1,0,"hispanic"
0,5,4,11,88,1,1,88,"black"
1,4,6,17,201,1,1,201,"hispanic"
1,2,10,11,-164,0,1,0,"black"
1,8,7,17,292,1,1,292,"black"
0,12,6,12,-159,0,1,0,"other"
1,7,7,0,-45,0,1,0,"hispanic"
0,5,4,9,-57,0,1,0,"other"
1,2,9,5,-71,0,1,0,"hispanic"
1,8,1,9,-164,0,1,0,"black"
1,11,13,1,-240,0,0,0,"hispanic"
0,9,11,8,-143,0,1,0,"white"
0,11,6,12,-285,0,1,0,"black"
1,6,0,2,-349,0,1,0,"black"
0,9,3,0,40,1,1,40,"black"
0,8,9,7,-249,0,1,0,"other"
1,3,8,20,-137,0,1,0,"black"
0,2,3,3,158,1,1,158,"hispanic"
0,5,0,0,-70,0,1,0,"black"
0,2,1,1,-284,0,1,0,"black"
0,3,6,1,-10,0,1,0,"black"
1,14,10,13,-104,0,1,0,"white"
1,13,4,18,-20,0,1,0,"white"
1,4,11,15,-354,0,1,0,"hispanic"
1,11,4,10,-156,0,1,0,"black"
1,8,11,13,138,1,1,138,"black"
1,2,6,6,-58,0,1,0,"hispanic"
1,2,2,6,-256,0,1,0,"black"
0,4,7,16,-75,0,1,0,"hispanic"
0,1,7,8,-65,0,1,0,"hispanic"
0,4,9,11,-185,0,1,0,"hispanic"
1,0,4,0,-286,0,1,0,"hispanic"
1,1,5,9,-124,0,1,0,"white"
0,6,6,7,-47,0,1,0,"other"
1,0,0,0,-111,0,1,0,"hispanic"
1,11,10,14,323,1,1,323,"white"
1,3,2,2,-149,0,1,0,"hispanic"
0,9,11,17,108,1,1,108,"black"
0,2,7,18,-286,0,0,0,"other"
1,4,1,5,-317,0,1,0,"hispanic"
1,3,12,0,-349,0,1,0,"black"
0,13,9,19,249,1,1,249,"black"
1,0,1,2,-91,0,1,0,"white"
1,4,7,14,-277,0,1,0,"black"
1,2,2,2,-25,0,1,0,"black"
0,11,5,13,11,1,1,11,"black"
1,6,7,15,-293,0,1,0,"hispanic"
1,5,0,16,-344,0,1,0,"hispanic"
0,2,8,0,-303,0,1,0,"black"
0,5,1,6,-235,0,1,0,"white"
0,0,9,9,131,1,1,131,"hispanic"
1,12,10,13,-298,0,1,0,"hispanic"
0,2,0,6,-345,0,1,0,"hispanic"
1,2,8,8,-221,0,1,0,"other"
1,3,5,9,-15,0,1,0,"hispanic"
